Lines of code metrics,Thu, 7 May 2020 15:52:30 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,451",n/a,n/a,"6,825",6.04%,n/a,n/a,"112,991","7,222",n/a
"org","1,451",n/a,n/a,"6,825",6.04%,n/a,n/a,"112,991","7,222",n/a
"org.jabref","1,451",88,46,"6,825",6.04%,110,0.35,"112,991","7,222",2.45
"org.jabref.architecture",1,0,0,1,11.11%,0,1.00,9,1,n/a
"org.jabref.cli",10,9,51,40,3.73%,110,0.89,"1,073",68,2.73
"org.jabref.collab",20,28,99,89,6.03%,110,0.79,"1,475",85,2.76
"org.jabref.gui",789,391,465,"2,825",4.99%,110,0.46,"56,594","3,552",2.11
"org.jabref.gui.actions",27,41,101,58,3.91%,110,0.71,"1,483",66,2.85
"org.jabref.gui.autocompleter",24,38,33,3,0.37%,110,0.46,809,87,1.48
"org.jabref.gui.autosaveandbackup",2,4,5,0,0.00%,110,0.56,52,4,1.50
"org.jabref.gui.auximport",2,1,9,5,2.55%,110,0.90,196,7,2.17
"org.jabref.gui.bibtexkeypattern",6,5,35,25,4.84%,110,0.88,517,23,2.05
"org.jabref.gui.cleanup",7,5,18,8,1.74%,110,0.81,460,35,1.97
"org.jabref.gui.contentselector",3,3,10,33,7.42%,110,0.82,445,11,5.20
"org.jabref.gui.customentrytypes",8,10,32,44,5.17%,110,0.80,851,43,3.21
"org.jabref.gui.customjfx",1,4,0,1,1.96%,0,0.00,51,3,2.33
"org.jabref.gui.dbproperties",2,1,12,9,3.40%,110,0.92,265,9,3.38
"org.jabref.gui.desktop",6,15,13,27,4.34%,110,0.46,622,49,4.15
"org.jabref.gui.desktop.os",5,8,9,5,1.66%,110,0.53,301,36,1.83
"org.jabref.gui.documentviewer",13,12,25,22,3.20%,110,0.70,688,76,1.23
"org.jabref.gui.entryeditor",32,31,137,131,6.66%,110,0.79,"1,967",135,2.21
"org.jabref.gui.entryeditor.fileannotationtab",5,4,24,3,0.77%,110,0.86,390,33,1.30
"org.jabref.gui.errorconsole",5,3,14,4,1.19%,110,0.82,337,22,1.57
"org.jabref.gui.exporter",13,12,67,64,5.41%,110,0.86,"1,184",53,2.96
"org.jabref.gui.externalfiles",17,24,100,166,8.80%,110,0.81,"1,886",58,4.28
"org.jabref.gui.externalfiletype",13,48,39,57,4.91%,110,0.42,"1,160",76,2.44
"org.jabref.gui.fieldeditors",58,51,236,129,4.19%,110,0.82,"3,076",284,1.66
"org.jabref.gui.fieldeditors.contextmenu",4,4,16,3,1.89%,110,0.80,159,7,2.29
"org.jabref.gui.filelist",8,24,26,16,2.60%,110,0.52,615,52,2.04
"org.jabref.gui.groups",28,26,123,281,8.56%,110,0.83,"3,282",198,2.28
"org.jabref.gui.help",8,16,24,0,0.00%,110,0.60,384,48,1.07
"org.jabref.gui.importer",59,44,176,361,6.49%,110,0.81,"5,564",277,2.71
"org.jabref.gui.importer.actions",5,9,51,35,5.98%,110,0.85,585,23,3.38
"org.jabref.gui.importer.fetcher",13,14,96,113,5.99%,110,0.88,"1,887",87,2.77
"org.jabref.gui.journals",15,12,52,5,0.45%,110,0.83,"1,116",95,1.95
"org.jabref.gui.keyboard",22,75,34,34,2.57%,110,0.28,"1,323",95,2.05
"org.jabref.gui.logging",2,0,3,2,2.33%,0,1.00,86,6,1.50
"org.jabref.gui.maintable",29,34,73,139,6.71%,110,0.73,"2,070",143,2.81
"org.jabref.gui.menus",4,10,35,19,4.38%,110,0.78,434,26,2.23
"org.jabref.gui.mergeentries",9,13,57,51,6.23%,110,0.82,819,35,2.63
"org.jabref.gui.openoffice",27,20,86,136,4.68%,110,0.83,"2,904",123,3.42
"org.jabref.gui.plaintextimport",13,13,38,55,8.11%,110,0.76,678,40,1.95
"org.jabref.gui.preftabs",49,44,169,150,3.31%,110,0.84,"4,530",203,2.64
"org.jabref.gui.protectedterms",10,7,32,17,3.18%,110,0.83,534,31,2.17
"org.jabref.gui.push",16,19,69,42,4.27%,110,0.81,984,83,1.85
"org.jabref.gui.remote",1,2,5,0,0.00%,110,0.71,21,1,3.00
"org.jabref.gui.renderer",3,6,5,5,4.42%,110,0.45,113,12,1.50
"org.jabref.gui.search",26,15,62,60,5.04%,110,0.80,"1,191",78,2.57
"org.jabref.gui.search.matchers",2,2,2,0,0.00%,110,0.50,28,2,1.00
"org.jabref.gui.shared",8,7,40,14,2.07%,110,0.85,676,27,2.52
"org.jabref.gui.specialfields",9,16,45,18,3.58%,110,0.74,503,25,5.44
"org.jabref.gui.undo",12,81,51,18,3.49%,110,0.39,516,54,1.30
"org.jabref.gui.util",43,99,20,34,1.68%,110,0.18,"2,018",191,1.73
"org.jabref.gui.util.comparator",4,6,8,4,3.48%,110,0.57,115,6,2.83
"org.jabref.gui.util.component",11,14,7,4,0.59%,110,0.32,679,60,1.50
"org.jabref.gui.worker",8,20,44,13,2.09%,110,0.69,621,33,2.53
"org.jabref.logic",408,6,4,"3,153",8.71%,110,0.40,"36,205","2,016",1.40
"org.jabref.logic.autosaveandbackup",2,7,8,1,0.44%,110,0.53,228,19,1.47
