Chidamber-Kemerer metrics,Wed, 13 May 2020 14:56:17 CEST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sf.jabref.BibDatabaseContext",118,0,1,0,39,35
"net.sf.jabref.Defaults",11,0,0,0,2,2
"net.sf.jabref.Globals",192,0,3,0,16,10
"net.sf.jabref.JabRefException",4,0,1,0,7,6
"net.sf.jabref.JabRefExecutorService",28,0,2,0,12,14
"net.sf.jabref.JabRefExecutorService.AutoCleanupRunnable",1,0,1,0,2,2
"net.sf.jabref.JabRefGUI",35,0,1,0,49,38
"net.sf.jabref.JabRefMain",30,0,1,0,43,7
"net.sf.jabref.MetaData",63,0,4,0,72,77
"net.sf.jabref.cli.ArgumentProcessor",47,0,2,0,113,77
"net.sf.jabref.cli.ArgumentProcessor.Mode",3,n/a,0,n/a,0,0
"net.sf.jabref.cli.AuxCommandLine",5,0,1,0,7,3
"net.sf.jabref.cli.CrossrefFetcherEvaluator",10,0,1,0,8,7
"net.sf.jabref.cli.GenerateCharacterTable",1,0,1,0,1,3
"net.sf.jabref.cli.ImportInspectionCommandLine",7,0,1,0,6,4
"net.sf.jabref.cli.JabRefCLI",6,0,4,0,57,33
"net.sf.jabref.cli.SystemOutputPrinter",3,0,3,0,3,3
"net.sf.jabref.cli.XMPUtilMain",14,0,1,0,17,18
"net.sf.jabref.collab.Change",15,0,3,11,8,7
"net.sf.jabref.collab.ChangeDisplayDialog",8,0,2,0,17,12
"net.sf.jabref.collab.ChangeScanner",42,0,1,0,73,71
"net.sf.jabref.collab.ChangeScanner.DisplayResultCallback",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.collab.EntryAddChange",12,1,2,0,13,3
"net.sf.jabref.collab.EntryChange",9,1,2,0,15,10
"net.sf.jabref.collab.EntryChange.FieldChange",9,1,2,0,10,8
"net.sf.jabref.collab.EntryDeleteChange",12,1,2,0,15,3
"net.sf.jabref.collab.FileUpdateListener",n/a,n/a,n/a,n/a,2,n/a
"net.sf.jabref.collab.FileUpdateMonitor",6,0,1,0,18,16
"net.sf.jabref.collab.FileUpdateMonitor.Entry",3,0,1,0,13,11
"net.sf.jabref.collab.FileUpdatePanel",8,3,3,0,13,7
"net.sf.jabref.collab.GroupChange",13,1,1,0,21,9
"net.sf.jabref.collab.InfoPane",6,0,1,0,2,2
"net.sf.jabref.collab.MetaDataChange",9,1,1,0,18,12
"net.sf.jabref.collab.MetaDataChange.MetaDataChangeUnit",1,0,3,0,4,4
"net.sf.jabref.collab.PreambleChange",8,1,2,0,10,5
"net.sf.jabref.collab.StringAddChange",11,1,2,0,18,4
"net.sf.jabref.collab.StringChange",12,1,2,0,18,6
"net.sf.jabref.collab.StringNameChange",11,1,1,0,18,6
"net.sf.jabref.collab.StringRemoveChange",9,1,2,0,15,3
"net.sf.jabref.event.GroupUpdatedEvent",2,0,1,0,2,2
"net.sf.jabref.event.MetaDataChangedEvent",2,0,1,0,2,2
"net.sf.jabref.event.source.EntryEventSource",12,n/a,0,n/a,0,0
"net.sf.jabref.external.AttachFileAction",10,0,1,0,20,4
"net.sf.jabref.external.AutoSetLinks",20,0,1,0,6,23
"net.sf.jabref.external.ConfirmCloseFileListEntryEditor",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.external.DownloadExternalFile",21,0,1,0,39,36
"net.sf.jabref.external.DownloadExternalFile.DownloadCallback",n/a,n/a,n/a,n/a,1,n/a
"net.sf.jabref.external.DroppedFileHandler",27,0,1,0,58,59
"net.sf.jabref.external.ExternalFileMenuItem",12,0,1,0,13,10
"net.sf.jabref.external.ExternalFileType",34,0,1,1,24,31
"net.sf.jabref.external.ExternalFileTypeEditor",18,0,3,0,30,16
"net.sf.jabref.external.ExternalFileTypeEditor.EditExternalFileTypesAction",5,1,1,0,10,6
"net.sf.jabref.external.ExternalFileTypeEditor.EditListener",4,0,1,0,4,3
"net.sf.jabref.external.ExternalFileTypeEditor.FileTypeTableModel",3,0,4,0,11,16
"net.sf.jabref.external.ExternalFileTypeEditor.IconRenderer",1,0,1,0,1,1
"net.sf.jabref.external.ExternalFileTypeEditor.TableClickListener",2,0,1,0,5,5
"net.sf.jabref.external.ExternalFileTypeEntryEditor",12,0,1,0,33,26
"net.sf.jabref.external.ExternalFileTypes",35,0,2,0,28,45
"net.sf.jabref.external.FindFullTextAction",13,1,1,0,26,7
"net.sf.jabref.external.MoveFileAction",14,0,1,0,27,22
"net.sf.jabref.external.RegExpFileSearch",7,0,2,0,14,35
"net.sf.jabref.external.SynchronizeFileField",24,1,1,0,47,31
"net.sf.jabref.external.SynchronizeFileField.OptionsDialog",7,0,2,0,19,8
"net.sf.jabref.external.TransferableFileLinkSelection",8,0,3,0,11,5
"net.sf.jabref.external.UnknownExternalFileType",12,1,0,0,3,1
"net.sf.jabref.external.WriteXMPAction",14,1,1,0,26,18
"net.sf.jabref.external.WriteXMPAction.OptionsDialog",7,0,1,0,14,6
