Chidamber-Kemerer metrics,Mon, 18 May 2020 19:36:03 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
net.sf.jabref.BibDatabaseContext,105,22,0,1,46,0,1.56,1.11,28,28
net.sf.jabref.Defaults,9,3,0,0,0,0,1,0.5,2,2
net.sf.jabref.Globals,230,26,0,3,7,0,1.25,0.12,16,10
net.sf.jabref.HighlightMatchingGroupPreferences,3,11,0,1,9,0,1,0.14,9,7
net.sf.jabref.JabRefException,3,7,0,1,7,0,1.2,1.6,7,6
net.sf.jabref.JabRefExecutorService,28,14,0,1,20,0,1.56,1,12,14
net.sf.jabref.JabRefExecutorService.AutoCleanupRunnable,1,5,0,1,2,0,1,1,2,2
net.sf.jabref.JabRefGUI,35,14,0,1,121,0,5.14,0.57,49,36
net.sf.jabref.JabRefMain,20,3,0,1,33,0,3.5,1,31,7
net.sf.jabref.JabRefPreferences,197,331,0,4,481,0,1.65,0.92,87,81
net.sf.jabref.JabRefPreferencesFilter,4,4,0,1,13,0,1,0.33,5,3
net.sf.jabref.JabRefPreferencesFilter.PreferenceOption,4,14,0,4,13,0,1.3,0.5,10,13
net.sf.jabref.JabRefPreferencesFilter.PreferenceType,1,3,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.JabRefPreferencesFilterDialog,6,6,0,1,13,0,1.5,1,7,3
net.sf.jabref.JabRefPreferencesFilterDialog.PreferencesTableModel,3,6,0,3,13,0,2.8,0.8,10,14
net.sf.jabref.MetaData,56,55,0,5,143,0,1.79,0.62,61,70
net.sf.jabref.bst.BibtexCaseChanger,5,11,0,1,64,0,5.88,2.88,11,47
net.sf.jabref.bst.BibtexCaseChanger.FORMAT_MODE,2,7,n/a,1,n/a,n/a,1.67,0.67,4,5
net.sf.jabref.bst.BibtexNameFormatter,7,5,0,1,79,0,12,2.6,14,60
net.sf.jabref.bst.BibtexPurify,4,1,0,1,13,0,16,2,3,16
net.sf.jabref.bst.BibtexTextPrefix,3,1,0,1,6,0,11,3,2,11
net.sf.jabref.bst.BibtexWidth,3,5,0,1,13,0,8.67,1.33,6,26
net.sf.jabref.bst.ChangeCaseFunction,6,4,0,1,10,0,2.5,1,6,5
net.sf.jabref.bst.FormatNameFunction,7,4,0,1,12,0,3,1,8,6
net.sf.jabref.bst.PurifyFunction,5,4,0,1,7,0,2,1,6,4
net.sf.jabref.bst.TextPrefixFunction,5,4,0,1,10,0,2.5,1,6,5
net.sf.jabref.bst.VM,15,49,0,3,4,0,4.17,0.82,66,146
net.sf.jabref.bst.VM.BstEntry,10,7,0,2,0,0,1,0.33,3,3
net.sf.jabref.bst.VM.BstFunction,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.bst.VM.Identifier,2,3,0,1,0,0,1,0.5,2,2
net.sf.jabref.bst.VM.MacroFunction,3,4,0,1,1,0,1,1,3,2
net.sf.jabref.bst.VM.StackFunction,5,5,0,1,24,0,3.33,0.67,13,10
net.sf.jabref.bst.VM.Variable,0,3,0,1,0,0,1,0.5,2,2
net.sf.jabref.bst.VMException,8,1,0,0,1,0,1,1,1,1
net.sf.jabref.bst.Warn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.bst.WidthFunction,5,4,0,1,7,0,2,1,6,4
net.sf.jabref.cli.ArgumentProcessor,40,23,0,2,294,0,4.28,0.78,108,77
net.sf.jabref.cli.ArgumentProcessor.Mode,3,2,n/a,0,n/a,n/a,n/a,0,0,0
net.sf.jabref.cli.AuxCommandLine,5,4,0,1,6,0,1.5,1,7,3
net.sf.jabref.cli.JabRefCLI,6,36,0,4,149,0,1,0.03,57,33
net.sf.jabref.collab.Change,15,10,0,3,n/a,11,1.17,0.62,8,7
net.sf.jabref.collab.ChangeDisplayDialog,7,11,0,2,56,0,3,1.5,15,12
net.sf.jabref.collab.ChangeScanner,38,23,0,1,210,0,5.92,2,71,71
net.sf.jabref.collab.ChangeScanner.DisplayResultCallback,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
net.sf.jabref.collab.EntryAddChange,12,15,1,2,10,0,1,1.33,13,3
net.sf.jabref.collab.EntryChange,9,14,1,2,37,0,3.33,2,15,10
net.sf.jabref.collab.EntryChange.FieldChange,9,20,1,2,37,0,2.67,3,10,8
net.sf.jabref.collab.EntryDeleteChange,12,17,1,2,12,0,1,1.67,15,3
net.sf.jabref.collab.FileUpdateListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
net.sf.jabref.collab.FileUpdateMonitor,6,12,0,1,21,0,2,0.88,18,16
net.sf.jabref.collab.FileUpdateMonitor.Entry,3,13,0,1,18,0,1.38,0.25,13,11
net.sf.jabref.collab.FileUpdatePanel,8,86,3,3,18,0,1.17,1,13,7
net.sf.jabref.collab.GroupChange,13,15,1,1,30,0,3,1.67,21,9
net.sf.jabref.collab.InfoPane,6,2,0,1,4,0,1,0.5,2,2
net.sf.jabref.collab.MetaDataChange,9,26,1,1,0,0,1.71,1.43,18,12
net.sf.jabref.collab.MetaDataChange.MetaDataChangeUnit,1,7,0,3,0,0,1,0.75,4,4
net.sf.jabref.collab.PreambleChange,8,17,1,2,31,0,1.67,1.67,10,5
net.sf.jabref.collab.StringAddChange,11,17,1,2,29,0,1.33,1.33,18,4
net.sf.jabref.collab.StringChange,12,21,1,2,45,0,2,2.67,18,6
net.sf.jabref.collab.StringNameChange,11,19,1,1,19,0,2,3,18,6
net.sf.jabref.collab.StringRemoveChange,9,19,1,2,20,0,1,2,15,3
net.sf.jabref.event.EntryAddedEvent,8,7,1,1,2,0,1,1,4,3
net.sf.jabref.event.EntryChangedEvent,6,4,1,0,1,1,1,1,2,1
net.sf.jabref.event.EntryEvent,10,3,0,1,n/a,3,1,0.5,2,2
net.sf.jabref.event.EntryRemovedEvent,4,4,1,0,1,0,1,1,2,1
net.sf.jabref.event.FieldChangedEvent,7,10,2,2,5,0,1,1,8,4
net.sf.jabref.exporter.AutoSaveManager,14,11,0,1,33,0,1.5,0.62,21,12
net.sf.jabref.exporter.AutoSaveManager.AutoSaveTask,4,1,0,1,5,0,3,0,6,3
net.sf.jabref.exporter.BibDatabaseWriter,33,22,0,1,160,0,2.73,2.6,57,41
net.sf.jabref.exporter.CustomExportDialog,8,10,0,4,78,0,1.57,0.83,14,11
net.sf.jabref.exporter.CustomExportList,6,14,0,2,51,0,1.7,0.5,20,17
net.sf.jabref.exporter.ExportComparator,1,1,0,1,3,0,1,2,1,1
net.sf.jabref.exporter.ExportCustomizationDialog,14,4,0,0,4,0,4.5,1,21,9
net.sf.jabref.exporter.ExportCustomizationDialog.ExportTableFormat,2,6,0,3,4,0,2,1,4,6
net.sf.jabref.exporter.ExportFileFilter,3,11,0,3,8,0,1.38,0.62,9,11
net.sf.jabref.exporter.ExportFormat,19,27,0,5,69,4,2.75,1.58,30,33
net.sf.jabref.exporter.ExportFormats,27,10,0,1,110,0,2.55,1.14,20,28
net.sf.jabref.exporter.ExportToClipboardAction,13,14,1,1,57,0,3,0.33,19,9
net.sf.jabref.exporter.FieldFormatterCleanups,19,18,0,2,59,0,2.29,0.79,20,32
net.sf.jabref.exporter.IExportFormat,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
net.sf.jabref.exporter.MSBibExportFormat,7,26,1,1,13,0,1.5,2,9,3
net.sf.jabref.exporter.ModsExportFormat,7,26,1,1,13,0,1.5,2,9,3
net.sf.jabref.exporter.OOCalcDatabase,8,6,0,1,176,0,1.5,1.75,14,6
net.sf.jabref.exporter.OpenDocumentRepresentation,8,7,0,1,178,0,1.75,1.75,14,7
net.sf.jabref.exporter.OpenDocumentSpreadsheetCreator,7,32,1,1,44,0,1.86,2.43,15,13
net.sf.jabref.exporter.OpenOfficeDocumentCreator,6,32,1,1,32,0,1.71,2.43,14,12
net.sf.jabref.exporter.RtfSelection,1,8,0,2,7,0,1.5,0.75,6,6
net.sf.jabref.exporter.SaveAllAction,12,8,1,1,22,0,2,0.67,18,6
net.sf.jabref.exporter.SaveDatabaseAction,27,25,1,1,195,0,3.82,0.36,88,42
