V5-0,Mon, 18 May 2020 19:09:08 CEST,,,,,,,,
Class,CBO,CSOA,DIT,LCOM,MPC,NOC,OCavg,OPavg,RFC,WMC
org.jabref.FallbackExceptionHandler,6,3,0,2,7,0,1,1,5,2
org.jabref.Globals,136,26,0,1,53,0,1.2,0,25,12
org.jabref.JabRefException,9,8,0,1,8,3,1.17,1.5,6,7
org.jabref.JabRefExecutorService,15,18,0,1,7,0,1.17,1.08,13,14
org.jabref.JabRefExecutorService.NamedRunnable,1,4,0,1,7,0,1,1,2,2
org.jabref.JabRefGUI,35,16,0,1,147,0,3.33,0.78,52,30
org.jabref.JabRefLauncher,1,1,0,1,1,0,1,1,2,1
org.jabref.JabRefMain,28,9,0,2,66,0,2.14,0.71,48,15
org.jabref.architecture.ApacheCommonsLang3Allowed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.cli.ArgumentProcessor,50,26,0,2,321,0,3.62,0.9,124,76
org.jabref.cli.ArgumentProcessor.Mode,3,2,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.cli.AuxCommandLine,7,4,0,1,7,0,1.5,1,8,3
org.jabref.cli.CrossrefFetcherEvaluator,11,2,0,1,39,0,2.67,0.5,9,8
org.jabref.cli.GenerateCharacterTable,1,2,0,1,35,0,2,0.5,2,4
org.jabref.cli.JabRefCLI,7,39,0,5,153,0,1,0.03,57,35
org.jabref.cli.SystemOutputPrinter,2,6,0,3,3,0,1,1.67,3,3
org.jabref.gui.AbstractViewModel,24,0,0,0,0,24,n/a,0,0,0
org.jabref.gui.BasePanel,128,98,0,6,8,0,1.84,0.43,192,127
org.jabref.gui.BasePanel.EntriesRemovedListener,3,1,0,1,2,0,1,1,3,1
org.jabref.gui.BasePanel.GroupTreeListener,7,1,0,1,6,0,3,1,5,3
org.jabref.gui.BasePanel.OpenURLAction,10,2,0,1,46,0,5,0,8,5
org.jabref.gui.BasePanel.RedoAction,4,2,0,1,8,0,1,0,7,1
org.jabref.gui.BasePanel.SearchAndOpenFile,11,4,0,1,26,0,2.5,1,15,5
org.jabref.gui.BasePanel.SearchAutoCompleteListener,6,2,0,1,7,0,1,1,5,2
org.jabref.gui.BasePanel.SearchListener,7,3,0,1,9,0,1,1,5,3
org.jabref.gui.BasePanel.UndoAction,4,2,0,1,9,0,1,0,7,1
org.jabref.gui.BasePanelMode,1,3,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.BasePanelPreferences,11,17,0,6,12,0,1,0.82,18,11
org.jabref.gui.ClipBoardManager,33,20,0,1,67,0,1.6,0.87,30,24
org.jabref.gui.DefaultInjector,12,4,0,1,16,0,4.33,1.67,7,13
org.jabref.gui.Dialog,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jabref.gui.DialogService,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,n/a
org.jabref.gui.DragAndDropDataFormats,8,5,0,0,0,0,n/a,0,0,0
org.jabref.gui.DragAndDropHelper,2,2,0,1,10,0,1.5,1,2,3
org.jabref.gui.EntryTypeView,19,28,1,1,85,0,2,1.14,25,14
org.jabref.gui.EntryTypeViewModel,21,22,0,1,66,0,1.82,0.27,34,20
org.jabref.gui.EntryTypeViewModel.FetcherWorker,4,3,0,1,9,0,2,0,5,2
org.jabref.gui.FXDialog,7,8,0,1,28,1,1.25,2,10,10
org.jabref.gui.GUIGlobals,13,11,0,1,15,0,1,0.25,10,4
org.jabref.gui.JabRefDialogService,11,63,0,13,164,0,1.06,2.32,41,34
org.jabref.gui.JabRefFrame,136,71,0,4,4,0,2.07,0.51,192,118
org.jabref.gui.JabRefFrame.CloseAction,2,7,1,1,1,0,1,0,2,1
org.jabref.gui.JabRefFrame.CloseDatabaseAction,2,7,1,1,2,0,1,0,3,1
org.jabref.gui.JabRefFrame.EditAction,4,10,1,1,9,0,4.33,0.33,6,13
org.jabref.gui.JabRefFrame.UndoRedoEventManager,5,3,0,1,4,0,1,1,5,3
org.jabref.gui.SaveOrderConfigDisplayView,9,18,0,1,57,0,1,0.17,25,6
org.jabref.gui.SaveOrderConfigDisplayViewModel,6,29,0,4,41,0,1.12,0.12,22,18
org.jabref.gui.SidePane,3,3,0,1,14,0,1.5,0.5,5,3
org.jabref.gui.SidePaneComponent,14,20,0,7,n/a,3,1.09,0.2,23,12
org.jabref.gui.SidePaneComponent.ToggleCommand,3,9,1,1,2,0,1,0.5,4,2
org.jabref.gui.SidePaneManager,12,15,0,1,6,0,2.18,0.82,26,24
org.jabref.gui.SidePaneManager.PreferredIndexSort,5,3,0,1,6,0,1,1,4,2
org.jabref.gui.SidePaneType,8,3,n/a,0,n/a,n/a,n/a,0,0,0
org.jabref.gui.StateManager,52,21,0,5,30,0,1.07,0.53,19,16
org.jabref.gui.UpdateTimestampListener,5,3,0,1,8,0,1.5,1,8,3
