V5-0,,,,,,,
Package,AC(rec),C(rec),Ca,Ce,D,I,LOC(rec)
,29,1274,n/a,n/a,n/a,n/a,106427
org,29,1274,n/a,n/a,n/a,n/a,106351
org.jabref,29,1274,82,51,0.62,0.39,106351
org.jabref.architecture,0,1,0,0,1,1,9
org.jabref.cli,0,8,9,43,0.17,0.88,885
org.jabref.gui,14,617,248,238,0.44,0.43,47818
org.jabref.gui.actions,1,12,101,25,0.55,0.2,681
org.jabref.gui.autocompleter,1,23,40,41,0.35,0.51,796
org.jabref.gui.auximport,0,3,4,17,0.19,0.81,174
org.jabref.gui.bibtexextractor,0,4,3,24,0.11,0.89,281
org.jabref.gui.bibtexkeypattern,0,10,14,58,0.19,0.83,549
org.jabref.gui.cleanup,0,5,6,35,0.15,0.87,493
org.jabref.gui.collab,1,16,17,90,0.03,0.84,692
org.jabref.gui.contentselector,0,3,3,13,0.19,0.81,358
org.jabref.gui.copyfiles,0,7,8,35,0.19,0.81,357
org.jabref.gui.customentrytypes,0,6,5,24,0.17,0.85,455
org.jabref.gui.customizefields,0,3,3,15,0.17,0.83,156
org.jabref.gui.customjfx,0,1,0,2,0,1,16
org.jabref.gui.desktop,0,6,13,11,0.54,0.46,566
org.jabref.gui.desktop.os,0,5,9,11,0.25,0.55,316
org.jabref.gui.dialogs,0,2,4,8,0.33,0.67,56
org.jabref.gui.documentviewer,3,12,12,22,0.1,0.67,679
org.jabref.gui.duplicationFinder,0,5,11,19,0.37,0.82,287
org.jabref.gui.edit,0,12,12,59,0.17,0.83,839
org.jabref.gui.entryeditor,2,24,27,175,0.03,0.88,2358
org.jabref.gui.entryeditor.fileannotationtab,0,4,4,25,0.14,0.86,389
org.jabref.gui.errorconsole,0,4,3,15,0.17,0.83,312
org.jabref.gui.exporter,0,14,19,90,0.17,0.85,1072
org.jabref.gui.externalfiles,0,11,18,73,0.2,0.82,917
org.jabref.gui.externalfiletype,0,10,42,34,0.45,0.45,885
org.jabref.gui.fieldeditors,2,52,48,265,0.04,0.85,2969
org.jabref.gui.fieldeditors.contextmenu,0,5,5,20,0.2,0.8,216
org.jabref.gui.filelist,0,4,4,29,0.12,0.88,313
org.jabref.gui.groups,0,16,19,88,0.18,0.83,2402
org.jabref.gui.help,0,9,19,33,0.37,0.63,533
org.jabref.gui.icon,0,6,75,5,0.77,0.08,475
org.jabref.gui.importer,0,26,19,96,0.17,0.83,1972
org.jabref.gui.importer.actions,0,6,8,51,0.03,0.86,463
org.jabref.gui.importer.fetcher,0,4,3,30,0.09,0.91,278
org.jabref.gui.integrity,0,4,3,18,0.14,0.86,234
org.jabref.gui.journals,0,10,11,53,0.17,0.83,980
org.jabref.gui.keyboard,0,7,30,20,0.6,0.4,575
org.jabref.gui.libraryproperties,0,3,3,18,0.14,0.86,363
org.jabref.gui.logging,0,5,5,7,0.42,0.62,189
org.jabref.gui.maintable,0,15,32,83,0.28,0.74,1537
org.jabref.gui.menus,0,2,5,11,0.31,0.69,141
org.jabref.gui.mergeentries,0,8,17,40,0.3,0.75,788
org.jabref.gui.metadata,0,5,5,23,0.18,0.82,323
org.jabref.gui.openoffice,0,25,22,94,0.19,0.82,3028
org.jabref.gui.preferences,1,40,40,207,0.09,0.84,4599
org.jabref.gui.preview,0,3,6,31,0.16,0.84,529
org.jabref.gui.protectedterms,0,4,4,28,0.12,0.88,285
org.jabref.gui.push,1,15,21,86,0.05,0.8,790
org.jabref.gui.remote,0,1,2,5,0.29,0.71,30
org.jabref.gui.search,0,9,8,18,0.31,0.71,599
org.jabref.gui.search.rules,0,5,n/a,n/a,n/a,n/a,191
org.jabref.gui.search.rules.describer,0,5,6,16,0.07,0.67,191
org.jabref.gui.shared,0,4,6,39,0.13,0.87,694
org.jabref.gui.specialfields,0,6,15,31,0.33,0.67,386
org.jabref.gui.texparser,0,8,9,38,0.19,0.81,648
org.jabref.gui.undo,0,12,70,49,0.59,0.41,540
org.jabref.gui.util,1,80,264,55,0.79,0.18,3577
org.jabref.gui.util.comparator,0,2,2,2,0.5,0.5,54
org.jabref.gui.util.component,0,6,6,6,0.5,0.5,322
org.jabref.gui.util.uithreadaware,0,6,6,5,0.55,0.45,283
org.jabref.gui.worker,0,1,1,11,0.08,0.92,100
org.jabref.logic,6,475,3,3,0.5,0.5,40609
org.jabref.logic.autosaveandbackup,0,2,7,12,0.37,0.63,224
org.jabref.logic.auxparser,0,1,4,4,0.5,0.5,162
org.jabref.logic.bibtex,0,20,25,22,0.53,0.47,1436
org.jabref.logic.bibtex.comparator,0,13,22,27,0.45,0.56,694
org.jabref.logic.bibtexkeypattern,0,3,22,18,0.55,0.45,1499
org.jabref.logic.bst,0,21,20,20,0.4,0.53,2178
org.jabref.logic.citationstyle,0,12,28,31,0.38,0.45,555
org.jabref.logic.cleanup,0,16,26,75,0.26,0.77,731
org.jabref.logic.exporter,2,21,55,109,0.24,0.68,2930
org.jabref.logic.externalfiles,0,2,3,10,0.23,0.77,151
org.jabref.logic.formatter,0,35,4,7,0.36,0.64,1755
org.jabref.logic.formatter.bibtexfields,0,23,43,58,0.43,0.57,1175
org.jabref.logic.formatter.casechanger,0,9,14,21,0.4,0.6,388
org.jabref.logic.formatter.minifier,0,1,1,2,0.33,0.67,64
org.jabref.logic.groups,0,1,4,2,0.67,0.33,13
org.jabref.logic.help,0,1,12,0,1,0,64
org.jabref.logic.importer,2,96,105,70,0.04,0.41,12137
org.jabref.logic.importer.fetcher,1,36,41,240,0.12,0.85,3444
org.jabref.logic.importer.fileformat,0,25,34,132,0.2,0.8,6579
org.jabref.logic.importer.fileformat.mods,n/a,n/a,n/a,n/a,n/a,n/a,12
org.jabref.logic.importer.util,0,10,14,32,0.3,0.73,688
org.jabref.logic.integrity,0,36,38,145,0.15,0.79,1160
org.jabref.logic.journals,0,7,31,6,0.84,0.16,423
org.jabref.logic.l10n,0,7,83,3,0.97,0.04,295
org.jabref.logic.layout,1,81,35,19,0.31,0.35,4123
org.jabref.logic.layout.format,0,72,91,132,0.41,0.59,2914
org.jabref.logic.logging,0,2,3,0,1,0,50
org.jabref.logic.msbib,0,8,10,18,0.36,0.64,912
org.jabref.logic.net,0,6,15,4,0.79,0.21,497
org.jabref.logic.openoffice,0,11,19,23,0.45,0.57,1688
org.jabref.logic.pdf,0,6,6,13,0.12,0.68,285
org.jabref.logic.preferences,0,1,4,1,0.8,0.2,40
org.jabref.logic.protectedterms,0,4,14,5,0.74,0.26,345
org.jabref.logic.remote,0,9,6,0,1,0,347
org.jabref.logic.remote.client,0,1,1,3,0.25,0.75,58
org.jabref.logic.remote.server,0,4,6,6,0.25,0.5,160
org.jabref.logic.remote.shared,0,2,5,1,0.83,0.17,86
org.jabref.logic.search,0,3,9,8,0.53,0.5,194
org.jabref.logic.shared,1,19,12,44,0.09,0.79,1945
org.jabref.logic.shared.event,0,3,6,4,0.6,0.4,66
org.jabref.logic.shared.exception,0,4,4,2,0.67,0.33,55
org.jabref.logic.shared.listener,0,2,2,2,0.5,0.5,62
org.jabref.logic.shared.prefs,0,1,5,3,0.62,0.38,125
org.jabref.logic.shared.security,0,1,3,0,1,0,60
org.jabref.logic.specialfields,0,1,3,4,0.43,0.57,98
org.jabref.logic.texparser,0,2,3,6,0.33,0.67,199
org.jabref.logic.undo,0,3,6,2,0.75,0.25,65
org.jabref.logic.util,0,30,72,12,0.77,0.13,3112
org.jabref.logic.util.io,0,11,34,21,0.53,0.39,920
org.jabref.logic.util.strings,0,7,12,0,1,0,1388
org.jabref.logic.xmp,0,7,20,20,0.5,0.5,949
org.jabref.migrations,0,6,7,36,0,0.84,564
org.jabref.model,9,144,28,2,0.27,0.07,12843
org.jabref.model.auxparser,0,2,9,3,0.25,0.25,78
org.jabref.model.bibtexkeypattern,1,3,18,5,0.45,0.22,147
org.jabref.model.cleanup,1,4,25,11,0.19,0.31,283
org.jabref.model.database,0,20,144,26,0.85,0.15,1293
org.jabref.model.database.event,0,6,23,9,0.72,0.28,121
org.jabref.model.database.shared,0,6,22,4,0.35,0.15,96
org.jabref.model.entry,1,56,227,45,0.79,0.16,6119
org.jabref.model.entry.event,1,5,26,11,0.5,0.3,151
org.jabref.model.entry.field,0,12,207,13,0.86,0.06,723
org.jabref.model.entry.identifier,0,7,29,12,0.56,0.29,632
org.jabref.model.entry.types,0,8,77,15,0.71,0.16,823
org.jabref.model.groups,3,15,61,48,0.27,0.44,1159
org.jabref.model.groups.event,0,1,1,2,0.33,0.67,15
org.jabref.model.metadata,0,7,61,18,0.77,0.23,613
org.jabref.model.metadata.event,0,1,2,2,0.5,0.5,18
org.jabref.model.pdf,0,2,5,1,0.83,0.17,223
org.jabref.model.search,1,18,5,4,0.06,0.44,554
org.jabref.model.search.matchers,1,6,10,8,0.39,0.53,92
org.jabref.model.search.rules,0,10,21,18,0.44,0.41,401
org.jabref.model.strings,0,3,47,1,0.98,0.02,912
org.jabref.model.texparser,0,4,10,5,0.42,0.33,273
org.jabref.model.util,0,7,52,6,0.61,0.1,403
org.jabref.preferences,0,13,88,74,0.47,0.47,2336
org.jabref.styletester,0,2,1,5,0.17,0.83,561
